# Caso de uso 6: o gerente adiciona e remove pratos. FALTA NUTFACTS
2 # user = gerente
1  # adicionar um prato
sopa de feijão  # descrição do prato
1.70  # preço
650  #servingSize
1  #servings
900  #calories
29.85  #fat
2.4  #sodium
99.5  #carbohydrate
1  # adicionar um prato
canja  # descrição do prato
3.10  # preço
400  #servingSize
1 #servings
350 #calories
9.85 #fat
1.4 #sodium
30.5 #carbohydrate
1  # adicionar um prato
bolonhesa  # descrição do prato
4  # preço
500  #servingSize
1  #servings
580  #calories
20.25  #fat
1.5  #sodium
68.5  #carbohydrate
2  # remover um prato
1  # remove o prato 1, neste caso lasagne
5  # terminar
3  # terminar
